Roll,Value,Time
712,58,16:08:04
713,2,16:08:05
714,3,16:08:06
715,29,16:08:08
716,57,16:08:09
717,29,16:08:10
718,43,16:08:11
719,33,16:08:12
720,35,16:08:14
721,38,16:08:15
722,23,16:08:16
723,56,16:08:17
724,61,16:08:18
725,15,16:08:19
726,11,16:08:21
727,26,16:08:22
728,64,16:08:24
729,50,16:08:25
730,51,16:08:26
731,50,16:08:27
732,10,16:08:28
733,29,16:08:31
734,30,16:08:32
735,38,16:08:33
736,45,16:08:34
737,50,16:08:36
738,5,16:08:37
739,57,16:08:38
740,40,16:08:39
741,19,16:08:41
742,29,16:08:42
743,33,16:08:43
744,41,16:08:44
745,13,16:08:46
746,52,16:08:47
747,29,16:08:48
748,18,16:08:49
749,29,16:08:50
750,56,16:08:52
751,40,16:08:53
752,37,16:08:54
753,21,16:08:55
754,3,16:08:56
755,6,16:08:58
756,16,16:08:59
757,41,16:09:00
758,56,16:09:01
759,19,16:09:03
760,56,16:09:04
761,36,16:09:05
762,43,16:09:06
763,20,16:09:07
764,10,16:09:09
765,41,16:09:10
766,33,16:09:11
767,23,16:09:13
768,19,16:09:14
769,42,16:09:15
770,9,16:09:17
771,34,16:09:18
772,11,16:09:19
773,8,16:09:21
774,21,16:09:22
775,13,16:09:23
776,25,16:09:25
777,13,16:09:26
778,24,16:09:28
779,17,16:09:29
780,45,16:09:30
781,8,16:09:31
782,45,16:09:32
783,36,16:09:34
784,11,16:09:35
785,7,16:09:36
786,34,16:09:38
787,33,16:09:39
788,54,16:09:40
789,54,16:09:41
790,41,16:09:42
791,62,16:09:44
792,15,16:09:46
793,29,16:09:48
794,9,16:09:50
795,62,16:09:51
796,51,16:09:52
797,5,16:09:53
798,32,16:09:55
799,40,16:09:56
800,38,16:09:57
801,52,16:09:59
802,44,16:10:00
803,13,16:10:01
804,5,16:10:02
805,18,16:10:04
806,28,16:10:05
807,12,16:10:06
808,24,16:10:07
809,63,16:10:08
810,35,16:10:10
811,35,16:10:11
812,26,16:10:12
813,3,16:10:13
814,31,16:10:15
815,50,16:10:16
816,50,16:10:17
817,4,16:10:18
818,41,16:10:20
819,61,16:10:21
820,25,16:10:22
821,2,16:10:23
822,37,16:10:25
823,6,16:10:26
824,48,16:10:27
825,13,16:10:28
826,45,16:10:29
827,44,16:10:31
828,30,16:10:32
829,54,16:10:33
830,20,16:10:34
831,63,16:10:36
832,62,16:10:37
833,45,16:10:38
834,44,16:10:39
835,39,16:10:41
836,53,16:10:42
837,26,16:10:43
838,38,16:10:44
839,62,16:10:45
840,40,16:10:46
841,3,16:10:48
842,27,16:10:49
843,51,16:10:50
844,1,16:10:51
845,58,16:10:53
846,22,16:10:54
847,47,16:10:55
848,26,16:10:57
849,7,16:10:58
850,13,16:10:59
851,46,16:11:00
852,24,16:11:02
853,6,16:11:03
854,49,16:11:04
855,47,16:11:06
856,1,16:11:07
857,44,16:11:08
858,44,16:11:09
859,31,16:11:10
860,24,16:11:11
861,9,16:11:13
862,15,16:11:14
863,63,16:11:15
864,32,16:11:16
865,36,16:11:17
866,1,16:11:19
867,32,16:11:20
868,15,16:11:21
869,50,16:11:22
870,24,16:11:23
871,4,16:11:25
872,51,16:11:26
873,19,16:11:27
874,8,16:11:29
875,55,16:11:30
876,42,16:11:31
877,53,16:11:32
878,10,16:11:33
879,59,16:11:36
880,22,16:11:38
881,62,16:11:39
882,6,16:11:41
883,9,16:11:44
884,27,16:11:46
885,32,16:11:48
886,21,16:11:49
887,15,16:11:51
888,64,16:11:53
889,21,16:11:55
890,60,16:11:56
891,36,16:11:58
892,25,16:11:59
893,25,16:12:01
894,64,16:12:03
895,31,16:12:04
896,59,16:12:06
897,25,16:12:08
898,8,16:12:11
899,44,16:12:12
900,54,16:12:14
901,13,16:12:17
902,41,16:12:19
903,12,16:12:20
904,8,16:12:22
905,62,16:12:24
906,22,16:12:25
907,1,16:12:27
908,42,16:12:29
909,10,16:12:30
910,48,16:12:32
911,58,16:12:34
912,50,16:12:36
913,15,16:12:37
914,14,16:12:39
915,9,16:12:40
916,33,16:12:43
917,14,16:12:45
918,12,16:12:47
919,23,16:12:49
920,49,16:12:50
921,16,16:12:52
922,35,16:12:54
923,4,16:12:55
924,53,16:12:57
925,32,16:12:58
926,57,16:13:00
927,26,16:13:02
928,7,16:13:04
929,39,16:13:06
930,35,16:13:07
931,48,16:13:09
932,14,16:13:11
933,55,16:13:12
934,38,16:13:14
935,51,16:13:16
936,2,16:13:18
937,27,16:13:19
938,19,16:13:21
939,6,16:13:22
940,60,16:13:24
941,19,16:13:26
942,29,16:13:28
943,14,16:13:29
944,32,16:13:31
945,47,16:13:32
946,41,16:13:35
947,22,16:13:37
948,35,16:13:38
949,10,16:13:40
950,8,16:13:42
951,53,16:13:44
952,25,16:13:47
953,42,16:13:49
954,26,16:13:51
955,42,16:13:52
956,17,16:13:54
957,27,16:13:56
958,43,16:13:58
959,15,16:13:59
960,16,16:14:01
961,60,16:14:03
962,64,16:14:04
963,18,16:14:06
964,11,16:14:07
965,33,16:14:08
966,54,16:14:10
967,33,16:14:12
968,1,16:14:13
969,35,16:14:15
970,4,16:14:17
971,15,16:14:19
972,21,16:14:20
973,37,16:14:22
974,43,16:14:25
975,10,16:14:26
976,40,16:14:28
977,27,16:14:30
978,13,16:14:32
979,55,16:14:33
980,19,16:14:35
981,11,16:14:37
982,24,16:14:39
983,14,16:14:40
984,37,16:14:42
985,24,16:14:43
986,37,16:14:45
987,64,16:14:47
988,22,16:14:49
989,30,16:14:51
990,17,16:14:53
991,48,16:14:55
992,39,16:14:57
993,23,16:14:58
994,46,16:15:01
995,43,16:15:02
996,50,16:15:04
997,62,16:15:06
998,48,16:15:08
999,52,16:15:09
1000,30,16:15:11
